,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
99,2.6104,37.0,3.7071428571428573,,1838.0,1.8755102040816327,,-122.26
100,2.4912,,3.7248,,2304.0,,,-122.25
101,3.2177,28.0,3.8784235136940546,,,1.7120908483633934,37.81,-122.25
102,3.125,39.0,,1.0614035087719298,389.0,1.706140350877193,37.81,-122.25
103,,52.0,3.5154975530179446,1.1435562805872757,895.0,1.4600326264274062,37.81,-122.25
104,2.8406,34.0,3.281721632196758,,2689.0,1.5030743432084963,,-122.26
105,4.9306,,,,674.0,2.762295081967213,,-122.24
106,3.2727,52.0,,1.0570175438596492,709.0,1.5548245614035088,,-122.24
107,3.1691,,,1.0900473933649288,686.0,1.6255924170616114,,-122.25
108,3.9,52.0,4.848189415041783,1.0459610027855153,1444.0,2.011142061281337,,-122.24
109,,28.0,,1.0660847880299251,1520.0,,37.82,
110,5.0917,52.0,5.628458498023716,1.1422924901185771,550.0,2.1739130434782608,37.82,-122.25
111,2.6429,32.0,3.7270058708414875,1.0743639921722115,1806.0,1.7671232876712328,37.82,-122.25
112,3.0233,26.0,,,1749.0,1.4371405094494658,37.82,-122.25
113,3.1484,52.0,4.578034682080925,1.0770712909441233,,,37.83,
114,3.4722,35.0,3.822274881516588,1.014218009478673,675.0,1.599526066350711,37.83,-122.25
115,3.1429,52.0,4.3951890034364265,0.9862542955326461,,1.8350515463917525,,-122.25
116,2.4234,28.0,3.0234798314268514,,2558.0,1.5400361228175798,37.83,-122.25
117,,52.0,4.040501446480231,1.0655737704918034,,1.7222757955641272,37.83,
118,5.8596,,6.742627345844504,1.0697050938337802,970.0,2.6005361930294906,,
119,5.2868,,,0.9360824742268041,1098.0,2.263917525773196,,-122.23
120,5.956,41.0,6.851063829787234,,794.0,2.1117021276595747,37.83,-122.24
121,4.9643,37.0,,1.148936170212766,98.0,2.0851063829787235,37.85,
122,6.3434,,6.947890818858561,1.0198511166253101,,,,-122.23
123,,52.0,,,1177.0,2.120720720720721,37.84,-122.24
124,7.2354,52.0,7.11716621253406,,,2.455040871934605,37.85,
125,5.457,28.0,5.5303347280334725,1.096234309623431,2031.0,2.1244769874476988,,
126,7.5,,,0.9874739039665971,,2.152400835073069,,-122.22
127,6.0194,44.0,5.735343383584589,1.0,1358.0,2.274706867671692,37.84,-122.21
128,7.5544,40.0,7.631498470948012,1.0305810397553516,1616.0,2.470948012232416,,-122.21
129,6.0666,,,,844.0,2.4606413994169096,,
130,,34.0,6.125,0.9879032258064516,1140.0,,37.84,-122.21
131,,18.0,,,,2.747422680412371,,-122.19
132,7.4882,35.0,6.467268623024831,1.0383747178329572,1072.0,,37.84,
133,,34.0,,1.0287206266318538,1627.0,2.1240208877284594,,-122.21
134,8.2049,28.0,6.978947368421053,0.968421052631579,463.0,2.4368421052631577,37.83,-122.19
135,8.401,26.0,7.530805687203792,1.0568720379146919,,2.5687203791469195,37.83,-122.2
136,,29.0,6.657992565055762,1.0074349442379182,661.0,2.45724907063197,37.83,-122.19
137,8.317,32.0,6.977186311787072,1.0038022813688212,635.0,2.414448669201521,37.82,-122.19
138,7.0175,37.0,6.982954545454546,1.0284090909090908,420.0,2.3863636363636362,37.82,
139,,39.0,7.54,1.068,,2.53,,-122.2
140,6.3624,30.0,5.615384615384615,0.7307692307692307,,2.423076923076923,37.81,-122.18
141,,52.0,6.785714285714286,0.9514285714285714,813.0,2.322857142857143,37.82,-122.21
142,,45.0,6.957746478873239,1.0234741784037558,1067.0,2.504694835680751,,-122.2
143,2.8929,,5.132246376811594,1.0960144927536233,1260.0,2.282608695652174,37.8,-122.21
144,3.0812,38.0,,1.0985626283367556,951.0,1.9527720739219712,37.8,-122.21
145,5.2402,52.0,6.200892857142857,0.9464285714285714,,2.2767857142857144,37.81,-122.21
146,6.5217,,,1.0876623376623376,765.0,2.4837662337662336,37.81,
147,3.2632,52.0,4.745652173913044,1.0108695652173914,1129.0,2.4543478260869565,37.8,
148,3.0298,,5.183673469387755,1.0521541950113378,,2.433106575963719,37.8,
149,4.5428,52.0,5.283495145631068,1.050485436893204,,2.3009708737864076,37.8,
150,4.072,52.0,,0.9970588235294118,756.0,2.223529411764706,37.81,
151,5.3509,52.0,5.65067178502879,1.0287907869481765,,1.9846449136276392,37.81,
152,3.1603,52.0,4.429193899782135,1.0588235294117647,787.0,1.7145969498910676,,
153,4.7708,52.0,6.727699530516432,1.0751173708920188,612.0,2.8732394366197185,37.81,
154,8.1564,52.0,7.7026315789473685,1.0578947368421052,1021.0,2.6868421052631577,,-122.22
155,8.8793,52.0,,1.1317829457364341,861.0,3.3372093023255816,37.81,-122.23
156,,52.0,7.599388379204893,0.9571865443425076,953.0,2.914373088685015,,-122.24
157,6.0302,52.0,5.8203125,,634.0,2.4765625,,-122.24
158,7.508,52.0,7.994318181818182,,878.0,2.4943181818181817,37.81,-122.23
159,2.7477,52.0,4.333333333333333,1.1387163561076605,918.0,1.9006211180124224,,-122.24
160,2.1944,,5.074285714285714,0.96,360.0,2.057142857142857,,-122.24
161,3.0149,,,1.0450819672131149,,2.4528688524590163,,-122.25
162,3.675,,4.851351351351352,0.9691119691119691,,2.023166023166023,,-122.24
163,3.225,46.0,4.326639892904953,1.1178045515394912,,1.8380187416331994,,
164,2.9345,42.0,4.059113300492611,1.0492610837438423,1715.0,1.6896551724137931,37.8,-122.25
165,2.1429,43.0,3.2742382271468142,1.0969529085872576,1359.0,1.8822714681440442,37.8,-122.25
166,1.6121,,3.5617433414043584,1.1355932203389831,1062.0,2.5714285714285716,,-122.25
167,1.3929,29.0,3.1927554980595083,1.1177231565329884,1335.0,1.7270375161707632,37.8,-122.25
168,,27.0,,1.1468531468531469,1171.0,,,
169,1.7772,45.0,3.882608695652174,1.1434782608695653,1475.0,3.2065217391304346,,-122.25
170,2.6458,,,0.9591836734693877,742.0,,37.79,-122.25
171,,52.0,3.6887052341597797,1.0771349862258952,1086.0,2.9917355371900825,,-122.25
172,2.2303,,,1.1160220994475138,1645.0,3.029465930018416,37.8,
173,1.6504,43.0,3.639751552795031,1.0046583850931676,1710.0,,37.8,-122.25
174,2.2697,52.0,4.368421052631579,1.0,731.0,3.206140350877193,,-122.24
175,,52.0,4.585014409221902,1.07492795389049,1118.0,3.2219020172910664,,-122.24
176,,,,1.1880597014925374,,3.002985074626866,,-122.24
177,2.6292,47.0,3.693140794223827,1.0613718411552346,1213.0,2.1895306859205776,37.8,
178,2.3833,,4.638132295719845,1.1245136186770428,,3.0038910505836576,,-122.23
179,2.957,52.0,4.496259351620948,1.0473815461346634,,3.29426433915212,,-122.24
180,2.5238,49.0,4.192023633677991,1.106351550960118,1487.0,2.1964549483013296,,
181,,52.0,4.209677419354839,,488.0,2.6236559139784945,37.8,
182,1.9028,51.0,4.0561224489795915,1.0561224489795917,949.0,2.420918367346939,,-122.23
183,2.25,50.0,,1.1566265060240963,,2.7686746987951807,,-122.23
184,2.3929,52.0,4.4714285714285715,,844.0,,,
185,,43.0,,,,3.5475223395613322,37.79,-122.23
186,2.9357,52.0,4.327669902912621,,1659.0,4.026699029126213,37.79,-122.23
187,,30.0,,,1011.0,,,
188,2.1638,39.0,3.776349614395887,,,3.763496143958869,37.79,
189,,47.0,,1.3036303630363035,1237.0,4.082508250825082,37.79,-122.24
190,3.375,52.0,4.011904761904762,,647.0,3.8511904761904763,37.79,-122.24
191,2.2542,43.0,4.554621848739496,1.0532212885154062,,3.596638655462185,37.79,-122.24
192,2.1,51.0,3.1818181818181817,0.7818181818181819,,4.1454545454545455,37.79,
193,,39.0,3.747967479674797,1.048780487804878,381.0,3.097560975609756,37.79,-122.25
194,3.625,,3.973568281938326,1.0440528634361232,846.0,3.7268722466960353,,
195,1.6929,20.0,3.510355029585799,,,2.4541420118343193,37.8,-122.26
196,,52.0,2.8333333333333335,,520.0,3.7681159420289854,,
197,2.59,,4.38996138996139,1.162162162162162,866.0,3.3436293436293436,37.77,-122.22
198,2.57,,4.202185792349726,1.1256830601092895,612.0,3.3442622950819674,,-122.23
199,2.6429,52.0,3.746031746031746,1.1587301587301588,415.0,3.2936507936507935,37.78,
200,,52.0,,1.0093896713615023,994.0,4.666666666666667,,-122.23
201,,50.0,4.0251572327044025,,1525.0,3.19706498951782,37.78,-122.22
202,1.9338,43.0,,1.0776255707762556,1506.0,3.4383561643835616,,
203,1.4844,52.0,,1.011764705882353,,3.9529411764705884,37.78,-122.23
204,1.6009,44.0,3.1158455392809588,1.0985352862849533,,3.745672436750999,,-122.23
205,,48.0,,,1481.0,4.317784256559767,37.79,
206,2.293,49.0,5.365296803652968,0.9908675799086758,859.0,3.922374429223744,,-122.23
207,2.1494,37.0,,1.0975143403441683,1608.0,3.074569789674952,37.79,-122.22
208,,30.0,,1.0357142857142858,,3.0357142857142856,37.79,-122.23
209,1.3281,40.0,5.054347826086956,1.0815217391304348,,3.0652173913043477,37.79,
210,,44.0,5.466911764705882,1.1544117647058822,961.0,3.5330882352941178,37.79,-122.22
211,3.9048,52.0,,1.0072992700729928,2273.0,3.318248175182482,37.79,-122.22
212,3.0893,52.0,3.9076923076923076,,600.0,3.076923076923077,37.79,-122.21
213,,46.0,4.489563567362429,1.0910815939278937,1647.0,3.1252371916508537,,
214,2.5,49.0,4.306603773584905,1.0613207547169812,1201.0,2.832547169811321,,-122.22
215,2.7969,38.0,,1.078907435508346,2167.0,3.2883156297420335,,-122.22
216,2.8321,29.0,,1.1058823529411765,939.0,2.761764705882353,,-122.2
217,2.9583,47.0,5.284246575342466,1.0513698630136987,859.0,2.941780821917808,37.79,-122.21
218,2.8365,34.0,,1.0794573643410852,1517.0,2.939922480620155,,-122.21
219,,35.0,,1.0595854922279793,1143.0,2.961139896373057,,-122.21
220,,39.0,,,1109.0,,37.8,
221,3.0757,,4.524663677130045,1.0022421524663676,1221.0,2.7376681614349776,37.8,-122.21
222,4.9559,43.0,,,1115.0,2.4505494505494507,,-122.2
223,,,,1.0932835820895523,706.0,2.6343283582089554,,-122.2
224,3.4861,52.0,,1.0070821529745042,1883.0,2.6671388101983005,37.8,
225,5.1184,41.0,,,804.0,2.364705882352941,37.8,-122.2
226,4.0977,,5.242063492063492,,,2.007936507936508,37.8,-122.21
227,,48.0,7.117647058823529,1.088235294117647,610.0,2.563025210084034,37.8,-122.19
228,4.2727,46.0,5.837349397590361,1.0271084337349397,,2.3132530120481927,,-122.19
229,2.9844,50.0,,1.059782608695652,462.0,2.510869565217391,,-122.19
230,4.1739,40.0,4.51063829787234,,667.0,2.8382978723404255,37.79,-122.2
231,,46.0,5.1152882205513786,1.0150375939849625,1059.0,2.654135338345865,37.8,-122.2
232,4.0114,52.0,,,637.0,2.299638989169675,37.8,
233,4.6563,45.0,5.986784140969163,,1106.0,2.436123348017621,,
234,,28.0,,,,2.596412556053812,37.79,
235,2.3036,,,1.176923076923077,,2.5871794871794873,,-122.2
236,2.6667,49.0,4.2,0.9285714285714286,737.0,3.5095238095238095,,
237,2.619,44.0,3.30142566191446,0.9205702647657841,1354.0,2.7576374745417516,37.79,-122.2
238,2.4167,45.0,4.462025316455696,1.1244725738396624,1530.0,3.2278481012658227,37.79,-122.21
239,2.7788,45.0,4.210416666666666,,,,37.79,-122.2
240,,46.0,,,1390.0,2.4428822495606326,,-122.21
241,,52.0,,,,3.95910780669145,37.78,-122.21
242,2.6583,,,0.9142857142857143,792.0,3.23265306122449,37.78,-122.21
243,3.0536,,3.6653061224489796,,779.0,,37.78,-122.21
244,2.3906,44.0,4.865573770491803,1.1639344262295082,2269.0,3.719672131147541,,
245,1.7188,43.0,,,1227.0,3.0147420147420148,37.78,-122.21
246,2.625,47.0,3.6556016597510372,1.0290456431535269,,3.12448132780083,,-122.21
247,,40.0,,0.8444444444444444,547.0,4.051851851851852,37.77,-122.22
248,,50.0,4.036363636363636,1.075,1807.0,4.1068181818181815,37.78,-122.22
249,2.0801,44.0,3.38989898989899,,1700.0,3.4343434343434343,37.78,
250,2.489,51.0,4.1653944020356235,,1543.0,3.926208651399491,37.78,-122.22
251,1.7546,52.0,,,,3.6166666666666667,37.76,
252,,52.0,4.313868613138686,1.2627737226277371,353.0,2.576642335766423,37.77,-122.21
253,2.6765,52.0,,1.0268456375838926,473.0,3.174496644295302,37.77,-122.21
254,,49.0,4.703933747412008,,1621.0,3.3561076604554865,,-122.2
255,2.3309,46.0,3.4858757062146895,,1183.0,3.34180790960452,37.77,-122.21
256,2.2604,43.0,,1.184115523465704,,,37.77,-122.21
257,1.8039,42.0,3.543726235741445,0.9657794676806084,900.0,3.4220532319391634,37.77,
258,2.2562,,,1.111731843575419,1888.0,3.515828677839851,37.77,-122.2
259,2.0562,41.0,4.536656891495602,1.217008797653959,1024.0,3.002932551319648,37.77,-122.2
260,3.5398,52.0,5.4373522458628845,1.0472813238770686,,2.895981087470449,37.78,
261,3.1167,39.0,,,1071.0,2.848404255319149,37.78,-122.2
262,,50.0,4.939153439153439,1.066137566137566,1128.0,2.984126984126984,,-122.2
263,,43.0,,,1537.0,3.175619834710744,37.77,-122.2
264,2.3125,44.0,4.399491094147582,1.0534351145038168,1240.0,3.1552162849872776,37.78,-122.21
265,,52.0,,1.0714285714285714,,2.7916666666666665,,-122.19
266,3.3715,52.0,5.105882352941176,1.0070588235294118,,2.5552941176470587,,-122.19
267,3.5114,52.0,5.585131894484412,1.0671462829736211,,2.7434052757793763,,-122.19
268,,52.0,6.645333333333333,,1109.0,2.957333333333333,,-122.19
269,,52.0,5.956639566395664,1.075880758807588,984.0,2.6666666666666665,,
270,3.875,33.0,,0.6595744680851063,575.0,12.23404255319149,,-122.18
271,5.2328,49.0,5.660287081339713,0.9808612440191388,496.0,2.373205741626794,37.78,
272,3.7262,52.0,5.631578947368421,,555.0,2.9210526315789473,37.78,-122.19
273,4.5893,,5.400611620795107,,,2.6574923547400613,37.78,
274,,39.0,5.820754716981132,0.8962264150943396,,2.2264150943396226,,-122.18
275,,41.0,,1.088785046728972,626.0,2.925233644859813,37.79,-122.18
276,,,6.410334346504559,1.1762917933130699,922.0,2.802431610942249,,-122.18
277,2.9514,47.0,,0.94921875,582.0,2.2734375,37.79,-122.19
278,2.6667,50.0,4.746268656716418,1.0796019900497513,546.0,,37.79,-122.19
279,,37.0,6.176691729323308,0.9849624060150376,620.0,2.330827067669173,,-122.18
280,,,,1.0,,2.2666666666666666,,-122.18
281,6.7527,23.0,7.064024390243903,1.024390243902439,955.0,,37.8,-122.18
282,7.0712,24.0,7.589506172839506,0.9783950617283951,916.0,2.8271604938271606,37.77,-122.13
283,5.9849,22.0,,1.0411794611082867,4985.0,2.5343162175902387,,
284,3.6875,42.0,5.707865168539326,0.9737827715355806,651.0,2.438202247191011,,
285,2.875,,4.731152204836415,1.0611664295874823,1704.0,2.4238975817923185,,-122.17
286,3.4205,43.0,4.877149877149877,1.0810810810810811,1085.0,2.6658476658476657,,-122.18
287,3.2984,50.0,5.78169014084507,,,,37.78,-122.18
288,,49.0,4.933701657458563,0.9779005524861878,468.0,2.585635359116022,,-122.17
289,,52.0,5.396694214876033,,296.0,2.446280991735537,37.78,
290,4.375,47.0,,,570.0,2.614678899082569,,
291,4.7708,48.0,5.427777777777778,1.0777777777777777,446.0,2.477777777777778,,-122.16
292,3.5739,45.0,,,968.0,2.5208333333333335,37.77,-122.16
293,3.0958,39.0,5.0094936708860756,1.1044303797468353,857.0,2.712025316455696,,
294,,39.0,5.0062111801242235,1.062111801242236,912.0,2.8322981366459627,,-122.17
295,,31.0,,1.1792035398230087,1360.0,,37.77,-122.17
296,1.9356,,,1.0338028169014084,1074.0,3.0253521126760563,37.76,-122.17
297,2.1842,47.0,5.544502617801047,1.081151832460733,965.0,,,-122.17
298,2.2917,37.0,4.921875,1.11875,933.0,,,
299,2.4333,38.0,4.983050847457627,1.1214689265536724,987.0,2.788135593220339,37.76,-122.17
300,1.9479,50.0,4.82520325203252,,907.0,3.686991869918699,,-122.18
301,3.9063,52.0,4.569696969696969,1.0606060606060606,447.0,2.709090909090909,,
302,1.8407,,5.117516629711751,1.0022172949002217,1299.0,2.8802660753880267,,-122.18
303,2.0786,27.0,,,396.0,2.522292993630573,37.77,
304,,42.0,4.402985074626866,0.9589552238805971,877.0,3.2723880597014925,37.77,-122.18
305,,43.0,5.498637602179836,1.111716621253406,,3.02724795640327,37.76,-122.18
306,1.7056,49.0,5.08550185873606,1.0483271375464684,790.0,2.936802973977695,,-122.19
307,2.2768,52.0,4.953068592057762,,,2.6696750902527078,,-122.18
308,3.2552,51.0,,1.0753424657534247,1173.0,2.6780821917808217,37.77,
309,,52.0,,0.9890710382513661,,,37.77,-122.18
310,2.4659,52.0,5.782857142857143,1.1171428571428572,1030.0,2.942857142857143,37.76,-122.19
311,1.75,47.0,4.0,,826.0,2.960573476702509,37.76,-122.2
312,,41.0,4.484581497797357,1.1233480176211454,,3.1101321585903086,37.77,-122.19
313,2.7159,45.0,5.306590257879656,1.1260744985673352,1132.0,3.2435530085959887,,-122.19
314,,41.0,,1.3018867924528301,522.0,3.2830188679245285,37.76,
315,,45.0,,1.0042194092827004,630.0,2.6582278481012658,37.76,
316,1.5809,,4.556390977443609,0.9924812030075187,531.0,3.992481203007519,,-122.2
317,,37.0,,1.103448275862069,1925.0,,37.76,-122.2
318,0.7683,38.0,4.253561253561253,1.0541310541310542,1144.0,3.259259259259259,,-122.19
319,1.3194,19.0,4.244230769230769,1.0865384615384615,1481.0,2.848076923076923,37.75,-122.19
320,0.8012,28.0,5.283950617283951,1.1666666666666667,435.0,2.685185185185185,37.75,-122.19
321,1.9479,26.0,4.267326732673268,0.9801980198019802,,,37.76,-122.19
322,1.1765,36.0,5.327044025157233,,567.0,3.5660377358490565,37.74,-122.19
323,2.3456,42.0,4.3983739837398375,1.2520325203252032,380.0,3.089430894308943,37.74,-122.18
324,2.1538,,4.368852459016393,1.0368852459016393,,,37.73,-122.19
325,2.5139,43.0,4.561290322580645,0.9483870967741935,417.0,2.6903225806451614,,-122.19
326,1.2625,,,1.0139372822299653,801.0,2.7909407665505226,,-122.19
327,2.9063,42.0,4.590909090909091,1.0858585858585859,646.0,,37.73,-122.18
328,2.5192,,,1.0280701754385966,,3.0,37.73,
329,2.1111,44.0,4.029411764705882,,435.0,,37.73,-122.18
330,,42.0,,,2736.0,3.5076923076923077,37.73,-122.18
331,,41.0,,1.0748792270531402,,3.577294685990338,37.74,
332,2.15,47.0,3.3795620437956204,,327.0,2.386861313868613,37.74,-122.17
333,2.4776,43.0,4.569832402234637,1.0782122905027933,494.0,2.7597765363128492,37.74,-122.17
334,2.1587,43.0,4.319648093841642,1.0879765395894427,1231.0,3.6099706744868034,37.73,-122.17
335,1.8438,35.0,4.623853211009174,1.1559633027522935,323.0,2.963302752293578,37.74,-122.18
336,3.0298,46.0,,,749.0,,37.74,-122.17
337,,46.0,4.320224719101123,1.0280898876404494,693.0,3.893258426966292,37.74,-122.17
338,2.2467,46.0,5.940677966101695,1.1045197740112995,,3.7824858757062145,37.74,
339,,45.0,,0.95,282.0,3.525,,-122.18
340,1.325,46.0,4.825641025641025,1.117948717948718,621.0,3.1846153846153844,37.75,
341,1.6196,38.0,3.83011583011583,,732.0,2.8262548262548264,37.75,-122.17
342,2.1731,45.0,,,901.0,3.4653846153846155,,-122.18
343,1.9167,36.0,7.506666666666667,1.7533333333333334,482.0,3.2133333333333334,37.75,-122.19
344,,,4.863849765258216,1.0938967136150235,,3.0610328638497655,,-122.18
345,1.712,36.0,,,651.0,3.9216867469879517,,
346,2.5625,33.0,4.475524475524476,1.0734265734265733,,3.493006993006993,37.76,-122.17
347,1.9821,43.0,5.186274509803922,1.0457516339869282,907.0,2.9640522875816995,37.75,-122.17
348,2.5043,41.0,,1.1782608695652175,828.0,3.6,37.75,
349,2.3281,44.0,,,763.0,3.0039370078740157,,-122.17
350,1.4375,,5.017191977077364,1.1174785100286533,,2.679083094555874,37.75,-122.17
